id,commune_id,kanton,commune,region,district,postcode_ort,postcode,ort
1,1,ZH,Aeugst am Albis,3,BEZIRK AFFOLTERN,8914 Aeugst am Albis,8914,Aeugst am Albis
2,1,ZH,Aeugst am Albis,3,BEZIRK AFFOLTERN,8914 Aeugstertal,8914,Aeugstertal
3,2,ZH,Affoltern am Albis,3,BEZIRK AFFOLTERN,8909 Zwillikon,8909,Zwillikon
4,2,ZH,Affoltern am Albis,3,BEZIRK AFFOLTERN,8910 Affoltern am Albis,8910,Affoltern am Albis
5,3,ZH,Bonstetten,3,BEZIRK AFFOLTERN,8906 Bonstetten,8906,Bonstetten
6,4,ZH,Hausen am Albis,3,BEZIRK AFFOLTERN,6340 Sihlbrugg,6340,Sihlbrugg
7,4,ZH,Hausen am Albis,3,BEZIRK AFFOLTERN,8915 Hausen am Albis,8915,Hausen am Albis
8,4,ZH,Hausen am Albis,3,BEZIRK AFFOLTERN,8925 Ebertswil,8925,Ebertswil
9,5,ZH,Hedingen,3,BEZIRK AFFOLTERN,8908 Hedingen,8908,Hedingen
10,6,ZH,Kappel am Albis,3,BEZIRK AFFOLTERN,8926 Hauptikon,8926,Hauptikon
11,6,ZH,Kappel am Albis,3,BEZIRK AFFOLTERN,8926 Kappel am Albis,8926,Kappel am Albis
12,6,ZH,Kappel am Albis,3,BEZIRK AFFOLTERN,8926 Uerzlikon,8926,Uerzlikon
13,7,ZH,Knonau,3,BEZIRK AFFOLTERN,8934 Knonau,8934,Knonau
14,8,ZH,Maschwanden,3,BEZIRK AFFOLTERN,8933 Maschwanden,8933,Maschwanden
15,9,ZH,Mettmenstetten,3,BEZIRK AFFOLTERN,8932 Mettmenstetten,8932,Mettmenstetten
16,10,ZH,Obfelden,3,BEZIRK AFFOLTERN,8912 Obfelden,8912,Obfelden
17,11,ZH,Ottenbach,3,BEZIRK AFFOLTERN,8913 Ottenbach,8913,Ottenbach
18,12,ZH,Rifferswil,3,BEZIRK AFFOLTERN,8911 Rifferswil,8911,Rifferswil
19,13,ZH,Stallikon,3,BEZIRK AFFOLTERN,8143 Stallikon,8143,Stallikon
20,13,ZH,Stallikon,3,BEZIRK AFFOLTERN,8143 Uetliberg,8143,Uetliberg
21,14,ZH,Wettswil am Albis,3,BEZIRK AFFOLTERN,8907 Wettswil,8907,Wettswil
22,21,ZH,Adlikon,3,BEZIRK ANDELFINGEN,8452 Adlikon,8452,Adlikon
23,22,ZH,Benken (ZH),3,BEZIRK ANDELFINGEN,8463 Benken ZH,8463,Benken ZH
24,23,ZH,Berg am Irchel,3,BEZIRK ANDELFINGEN,8415 Berg am Irchel,8415,Berg am Irchel
25,23,ZH,Berg am Irchel,3,BEZIRK ANDELFINGEN,8415 Gräslikon,8415,Gräslikon
26,24,ZH,Buch am Irchel,3,BEZIRK ANDELFINGEN,8414 Buch am Irchel,8414,Buch am Irchel
27,25,ZH,Dachsen,3,BEZIRK ANDELFINGEN,8447 Dachsen,8447,Dachsen
28,26,ZH,Dorf,3,BEZIRK ANDELFINGEN,8458 Dorf,8458,Dorf
29,27,ZH,Feuerthalen,3,BEZIRK ANDELFINGEN,8245 Feuerthalen,8245,Feuerthalen
30,27,ZH,Feuerthalen,3,BEZIRK ANDELFINGEN,8246 Langwiesen,8246,Langwiesen
31,28,ZH,Flaach,3,BEZIRK ANDELFINGEN,8416 Flaach,8416,Flaach
32,29,ZH,Flurlingen,3,BEZIRK ANDELFINGEN,8247 Flurlingen,8247,Flurlingen
33,30,ZH,Andelfingen,3,BEZIRK ANDELFINGEN,8450 Andelfingen,8450,Andelfingen
34,31,ZH,Henggart,3,BEZIRK ANDELFINGEN,8444 Henggart,8444,Henggart
35,32,ZH,Humlikon,3,BEZIRK ANDELFINGEN,8457 Humlikon,8457,Humlikon
36,33,ZH,Kleinandelfingen,3,BEZIRK ANDELFINGEN,8451 Kleinandelfingen,8451,Kleinandelfingen
37,33,ZH,Kleinandelfingen,3,BEZIRK ANDELFINGEN,8453 Alten,8453,Alten
38,33,ZH,Kleinandelfingen,3,BEZIRK ANDELFINGEN,8461 Oerlingen,8461,Oerlingen
39,34,ZH,Laufen-Uhwiesen,3,BEZIRK ANDELFINGEN,8212 Nohl,8212,Nohl
40,34,ZH,Laufen-Uhwiesen,3,BEZIRK ANDELFINGEN,8248 Uhwiesen,8248,Uhwiesen
41,34,ZH,Laufen-Uhwiesen,3,BEZIRK ANDELFINGEN,8447 Dachsen,8447,Dachsen
42,35,ZH,Marthalen,3,BEZIRK ANDELFINGEN,8460 Marthalen,8460,Marthalen
43,35,ZH,Marthalen,3,BEZIRK ANDELFINGEN,8464 Ellikon am Rhein,8464,Ellikon am Rhein
44,36,ZH,Oberstammheim,3,BEZIRK ANDELFINGEN,8468 Waltalingen,8468,Waltalingen
45,36,ZH,Oberstammheim,3,BEZIRK ANDELFINGEN,8477 Oberstammheim,8477,Oberstammheim
46,36,ZH,Oberstammheim,3,BEZIRK ANDELFINGEN,8525 Wilen b. Neunforn,8525,Wilen b. Neunforn
47,37,ZH,Ossingen,3,BEZIRK ANDELFINGEN,8466 Trüllikon,8466,Trüllikon
48,37,ZH,Ossingen,3,BEZIRK ANDELFINGEN,8475 Ossingen,8475,Ossingen
49,38,ZH,Rheinau,3,BEZIRK ANDELFINGEN,8462 Rheinau,8462,Rheinau
